bookID,title,authors,average_rating,language_code,  num_pages,publisher,Imp_Features,bookID_idx
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,eng,652,Scholastic Inc.,Harry Potter and the Half-Blood Prince (Harry Potter  #6) J.K. Rowling/Mary GrandPré Scholastic Inc.,0
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,eng,870,Scholastic Inc.,Harry Potter and the Order of the Phoenix (Harry Potter  #5) J.K. Rowling/Mary GrandPré Scholastic Inc.,1
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,eng,352,Scholastic,Harry Potter and the Chamber of Secrets (Harry Potter  #2) J.K. Rowling Scholastic,2
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,eng,435,Scholastic Inc.,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3) J.K. Rowling/Mary GrandPré Scholastic Inc.,3
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,eng,2690,Scholastic,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5) J.K. Rowling/Mary GrandPré Scholastic,4
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,en-US,152,Nimble Books,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation W. Frederick Zimmerman Nimble Books",5
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,eng,3342,Scholastic,Harry Potter Collection (Harry Potter  #1-6) J.K. Rowling Scholastic,6
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,Gramercy Books,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5) Douglas Adams Gramercy Books,7
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,Del Rey Books,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5) Douglas Adams Del Rey Books,8
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,eng,215,Crown,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1) Douglas Adams Crown,9
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,Wings Books,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5) Douglas Adams Wings Books,10
21,A Short History of Nearly Everything,Bill Bryson,4.21,eng,544,Broadway Books,A Short History of Nearly Everything Bill Bryson Broadway Books,11
22,Bill Bryson's African Diary,Bill Bryson,3.44,eng,55,Broadway Books,Bill Bryson's African Diary Bill Bryson Broadway Books,12
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,eng,256,Broadway Books,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right Bill Bryson Broadway Books,13
24,In a Sunburned Country,Bill Bryson,4.07,eng,335,Broadway Books,In a Sunburned Country Bill Bryson Broadway Books,14
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,eng,304,Broadway Books,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away Bill Bryson Broadway Books,15
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,eng,299,William Morrow Paperbacks,The Lost Continent: Travels in Small Town America Bill Bryson William Morrow Paperbacks,16
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,eng,254,William Morrow Paperbacks,Neither Here nor There: Travels in Europe Bill Bryson William Morrow Paperbacks,17
28,Notes from a Small Island,Bill Bryson,3.91,eng,324,William Morrow Paperbacks,Notes from a Small Island Bill Bryson William Morrow Paperbacks,18
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,eng,270,William Morrow Paperbacks,The Mother Tongue: English and How It Got That Way Bill Bryson William Morrow Paperbacks,19
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,eng,1728,Ballantine Books,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings J.R.R. Tolkien Ballantine Books,20
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,eng,1184,Houghton Mifflin Harcourt,The Lord of the Rings (The Lord of the Rings  #1-3) J.R.R. Tolkien Houghton Mifflin Harcourt,21
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,eng,398,Houghton Mifflin Harcourt,The Fellowship of the Ring (The Lord of the Rings  #1) J.R.R. Tolkien Houghton Mifflin Harcourt,22
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,eng,218,Houghton Mifflin Harcourt,The Lord of the Rings: Weapons and Warfare Chris   Smith/Christopher  Lee/Richard Taylor Houghton Mifflin Harcourt,23
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,eng,224,Houghton Mifflin Harcourt,The Lord of the Rings: Complete Visual Companion Jude Fisher Houghton Mifflin Harcourt,24
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,eng,558,Pragmatic Bookshelf,Agile Web Development with Rails: A Pragmatic Guide Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz Pragmatic Bookshelf,25
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,eng,208,Atheneum Books for Young Readers: Richard Jackson Books,Hatchet (Brian's Saga  #1) Gary Paulsen Atheneum Books for Young Readers: Richard Jackson Books,26
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,eng,48,Teacher Created Resources,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom Donna Ickes/Edward Sciranko/Keith Vasconcelles Teacher Created Resources",27
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,eng,144,Delacorte Press,Guts: The True Stories behind Hatchet and the Brian Books Gary Paulsen Delacorte Press,28
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,eng,56,Cherry Lane Music Company,Molly Hatchet - 5 of the Best Molly Hatchet Cherry Lane Music Company,29
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,en-US,228,The New Press,Hatchet Jobs: Writings on Contemporary Fiction Dale Peck The New Press,30
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,eng,304,Changeling Press,A Changeling for All Seasons (Changeling Seasons #1) Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati Changeling Press,31
58,Changeling (Changeling  #1),Delia Sherman,3.6,eng,256,Viking Juvenile,Changeling (Changeling  #1) Delia Sherman Viking Juvenile,32
59,The Changeling Sea,Patricia A. McKillip,4.06,eng,137,Firebird,The Changeling Sea Patricia A. McKillip Firebird,33
61,The Changeling,Zilpha Keatley Snyder,4.17,eng,228,iUniverse,The Changeling Zilpha Keatley Snyder iUniverse,34
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,eng,369,Ivy Books,The Changeling (Daughters of England  #15) Philippa Carr Ivy Books,35
67,The Known World,Edward P. Jones,3.83,eng,388,Amistad,The Known World Edward P. Jones Amistad,36
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,eng,334,FT Press,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives Satyajit Das FT Press,37
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,eng,352,Archaia,Artesia: Adventures in the Known World Mark Smylie Archaia,38
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,eng,416,Farrar  Straus and Giroux,The John McPhee Reader (John McPhee Reader  #1) John McPhee/William Howarth Farrar  Straus and Giroux,39
75,Uncommon Carriers,John McPhee,3.95,en-US,248,Farrar Straus Giroux,Uncommon Carriers John McPhee Farrar Straus Giroux,40
76,Heirs of General Practice,John McPhee,4.17,eng,128,Farrar  Straus and Giroux,Heirs of General Practice John McPhee Farrar  Straus and Giroux,41
77,The Control of Nature,John McPhee,4.24,en-US,288,Farrar  Straus and Giroux,The Control of Nature John McPhee Farrar  Straus and Giroux,42
78,Annals of the Former World,John McPhee,4.34,eng,720,Farrar  Straus and Giroux,Annals of the Former World John McPhee Farrar  Straus and Giroux,43
79,Coming Into the Country,John McPhee,4.22,eng,448,Farrar  Straus and Giroux,Coming Into the Country John McPhee Farrar  Straus and Giroux,44
81,Giving Good Weight,John McPhee,4.23,eng,288,Farrar  Straus and Giroux,Giving Good Weight John McPhee Farrar  Straus and Giroux,45
83,Rising from the Plains,John McPhee,4.23,eng,208,Farrar  Straus and Giroux,Rising from the Plains John McPhee Farrar  Straus and Giroux,46
85,The Heidi Chronicles,Wendy Wasserstein,3.75,eng,81,Dramatists Play Service,The Heidi Chronicles Wendy Wasserstein Dramatists Play Service,47
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,eng,249,Vintage,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic Wendy Wasserstein Vintage,48
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,eng,138,Routledge,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening Heidi Hayes Jacobs Routledge,49
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,en-US,128,North Light Books,Simply Beautiful Beaded Jewelry Heidi Boyd North Light Books,50
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,eng,192,Chosen Books,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth Heidi Baker/Rolland Baker Chosen Books,51
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,en-US,108,Association for Supervision & Curriculum Development,Mapping the Big Picture: Integrating Curriculum & Assessment K-12 Heidi Hayes Jacobs Association for Supervision & Curriculum Development,52
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,eng,352,Kingfisher,Heidi (Heidi  #1-2) Johanna Spyri/Beverly Cleary/Angelo  Rinaldi Kingfisher,53
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,eng,192,ASCD,Getting Results with Curriculum Mapping Heidi Hayes Jacobs ASCD,54
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,eng,192,Sovereign World,There's Always Enough: The Miraculous Move of God in Mozambique Rolland Baker/Heidi Baker Sovereign World,55
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,eng,832,Workman Publishing Company,What to Expect the First Year (What to Expect) Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome Workman Publishing Company,56
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,eng,123,One Hour Entertainment,The Player's Handbook: The Ultimate Guide on Dating and Relationships Heidi Fleiss/Libby Keatinge One Hour Entertainment,57
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,en-US,128,North Light Books,Simply Beautiful Beading: 53 Quick and Easy Projects Heidi Boyd North Light Books,58
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,eng,423,Ace Books,God Emperor of Dune (Dune Chronicles  #4) Frank Herbert Ace Books,59
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,eng,436,Ace Books,Chapterhouse: Dune (Dune Chronicles #6) Frank Herbert Ace Books,60
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,eng,331,Ace Books,Dune Messiah (Dune Chronicles #2) Frank Herbert Ace Books,61
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,en-US,592,Tor Books,Dreamer of Dune: The Biography of Frank Herbert Brian Herbert Tor Books,62
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,eng,480,Putnam,Heretics of Dune (Dune Chronicles  #5) Frank Herbert Putnam,63
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,eng,426,Tor Science Fiction,The Road to Dune Frank Herbert/Brian Herbert/Kevin J. Anderson Tor Science Fiction,64
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,eng,471,Ace Books,Heretics of Dune (Dune Chronicles #5) Frank Herbert Ace Books,65
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,eng,192,Houghton Mifflin Harcourt,The Lord of the Rings: The Art of the Fellowship of the Ring Gary Russell Houghton Mifflin Harcourt,66
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,544,Ballantine Books,The Power of One (The Power of One  #1) Bryce Courtenay Ballantine Books,67
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,en-US,256,Thomas Nelson,The Power of One: One Person  One Rule  One Month John C. Maxwell/Stephen R. Graves/Thomas G. Addington Thomas Nelson,68
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,eng,205,Wiley,Power of an Hour: Business and Life Mastery in One Hour a Week Dave Lakhani Wiley,69
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,eng,240,Heinemann Drama,The Power of One: The Solo Play for Playwrights  Actors  and Directors Louis E. Catron Heinemann Drama,70
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,eng,336,William Morrow Paperbacks,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days Adam Ginsberg William Morrow Paperbacks,71
133,eBay for Dummies,Marsha Collier,3.5,eng,386,Wiley,eBay for Dummies Marsha Collier Wiley,72
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,eng,260,McGraw-Hill,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond Chris Malta/Lisa Suttora McGraw-Hill,73
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,eng,384,Wiley,Starting an eBay Business for Dummies Marsha Collier Wiley,74
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,eng,260,Wiley,eBay: Top 100 Simplified Tips & Tricks Julia Wilkinson Wiley,75
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,en-US,391,Wiley,ebay Timesaving Techniques for Dummies Marsha Collier Wiley,76
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,en-US,864,Wiley,eBay Business All-in-One Desk Reference for Dummies Marsha Collier Wiley,77
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,eng,873,O'Reilly Media,Ruby Cookbook Lucas Carlson/Leonard Richardson O'Reilly Media,78
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,eng,240,Citadel,Ruby Ann's Down Home Trailer Park Cookbook Ruby Ann Boxcar Citadel,79
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,eng,206,Citadel,Ruby Ann's Down Home Trailer Park BBQin' Cookbook Ruby Ann Boxcar Citadel,80
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,eng,514,O'Reilly Media,Rails Cookbook: Recipes for Rapid Web Development with Ruby Rob Orsini O'Reilly Media,81
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,eng,838,Penguin Classics,Anna Karenina Leo Tolstoy/Richard Pevear/Larissa Volokhonsky Penguin Classics,82
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,eng,80,Cliffs Notes,CliffsNotes on Tolstoy's Anna Karenina Marianne Sturman/Leo Tolstoy Cliffs Notes,83
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,eng,360,Mira Books,Dinner with Anna Karenina Gloria Goldreich Mira Books,84
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,eng,128,Cambridge University Press,Tolstoy: Anna Karenina Anthony Thorlby Cambridge University Press,85
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,eng,160,Penguin Books,Untouchable Mulk Raj Anand/E.M. Forster Penguin Books,86
163,The Untouchable,John Banville,3.95,eng,367,Vintage,The Untouchable John Banville Vintage,87
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,eng,256,Buccaneer Books,The Untouchables Eliot Ness/Oscar Fraley Buccaneer Books,88
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,en-US,320,Scribner,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India Narendra Jadhav Scribner,89
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,eng,100,Clarity Press,Dalit: The Black Untaouchables of India V.T. Rajshekar/Y.N. Kly Clarity Press,90
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,eng,224,Rowman & Littlefield Publishers,Growing Up Untouchable in India: A Dalit Autobiography Vasant Moon/Gail Omvedt/Eleanor Zelliot Rowman & Littlefield Publishers,91
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,eng,216,Pearson,The Evidence-Based Social Work Skills Book Barry R. Cournoyer Pearson,92
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,eng,48,Teacher Created Resources,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom John Carratello/Patty Carratello/Theresa Wright Teacher Created Resources",93
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,eng,360,Harper Perennial,Wrinkles in Time George Smoot/Keay Davidson Harper Perennial,94
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,eng,250,EMC/Paradigm Publishing,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1) Madeleine L'Engle EMC/Paradigm Publishing,95
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,eng,32,Teaching Resources,Literature Circle Guide: A Wrinkle in Time Tara MacCarthy Teaching Resources,96
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,eng,367,Little  Brown Book Group,The Long Shadow (The Morland Dynasty  #6) Cynthia Harrod-Eagles Little  Brown Book Group,97
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,eng,352,William Morrow,A Long Shadow (Inspector Ian Rutledge  #8) Charles Todd William Morrow,98
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,en-US,320,Atria Books,Long Way Round: Chasing Shadows Across the World Ewan McGregor/Charley Boorman/Robert Uhlig Atria Books,99
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,eng,331,Tor Books,A Shadow in Summer (Long Price Quartet  #1) Daniel Abraham Tor Books,100
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,eng,244,Vintage Crime/Black Lizard,New Hope for the Dead (Hoke Mosely #2) Charles Willeford/James Lee Burke Vintage Crime/Black Lizard,101
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,eng,215,Vintage Crime/Black Lizard,Sideswipe: A Hoke Moseley Novel Charles Willeford/Lawrence Block Vintage Crime/Black Lizard,102
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,eng,191,Vintage Crime/Black Lizard,Miami Blues (Hoke Moseley #1) Charles Willeford/Elmore Leonard Vintage Crime/Black Lizard,103
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,eng,144,Vintage,The Burnt Orange Heresy (Vintage Crime/Black Lizard) Charles Willeford Vintage,104
231,I am Charlotte Simmons,Tom Wolfe,3.42,eng,738,Picador USA,I am Charlotte Simmons Tom Wolfe Picador USA,105
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,eng,48,Sterling,Poetry for Young People: Edward Lear Edward Lear/Laura Huliska-Beith/Edward Mendelson Sterling,106
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,eng,287,Puffin,The Puffin Book of Nonsense Verse Quentin Blake Puffin,107
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,eng,217,New Directions Publishing,Henry Miller on Writing Henry Miller/Thomas H. Moore New Directions Publishing,108
247,Quiet Days in Clichy,Henry Miller,3.69,eng,154,Grove Press,Quiet Days in Clichy Henry Miller Grove Press,109
249,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,eng,318,Grove Press,Tropic of Cancer Henry Miller/Jiří Níl Grove Press,110
250,Tropic of Capricorn,Henry Miller,3.78,eng,348,Grove Press,Tropic of Capricorn Henry Miller Grove Press,111
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,eng,316,Grove Press,Nexus (The Rosy Crucifixion  #3) Henry Miller Grove Press,112
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,eng,506,Grove Press,Sexus (The Rosy Crucifixion  #1) Henry Miller Grove Press,113
253,The Air-Conditioned Nightmare,Henry Miller,3.83,eng,292,New Directions,The Air-Conditioned Nightmare Henry Miller New Directions,114
